500733,6259.17,0,250367,0,0,0,0,-6259.17,0,0,0
6259.17,3073.04,-117.056,6259.17,-2851.67,0,0,0,-104.319,0,-117.056,117.056
0,-117.056,3073.04,6259.17,0,-104.319,6259.17,0,0,-2851.67,117.056,-117.056
250367,6259.17,6259.17,1.00147e+06,0,-6259.17,250367,0,-6259.17,0,0,0
0,-2851.67,0,0,3073.04,117.056,6259.17,6259.17,-117.056,-117.056,-104.319,0
0,0,-104.319,-6259.17,117.056,3073.04,-6259.17,0,-117.056,-117.056,0,-2851.67
0,0,6259.17,250367,6259.17,-6259.17,1.00147e+06,250367,0,0,-6259.17,0
0,0,0,0,6259.17,0,250367,500733,0,0,-6259.17,0
-6259.17,-104.319,0,-6259.17,-117.056,-117.056,0,0,221.375,117.056,0,0
0,0,-2851.67,0,-117.056,-117.056,0,0,117.056,2968.72,0,0
0,-117.056,117.056,0,-104.319,0,-6259.17,-6259.17,0,0,221.375,-117.056
0,117.056,-117.056,0,0,-2851.67,0,0,0,0,-117.056,2968.72
